Age,Attrition,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,MonthlyHours,TaxRate,OverallSatisfaction
52,0,2,9,4,2,0,3,3,11,3,8446,9,0,17,3,0,2,2,8,7,156.61363636363637,0.3871716731969235,2.6
36,0,2,1,1,2,0,3,5,8,3,4834,1,1,14,3,1,3,3,1,8,157.94230769230768,0.4114209180567393,2.8
25,0,3,16,3,3,0,3,2,5,4,4768,1,1,25,3,1,4,3,1,5,448.05555555555554,0.7044017358958462,3.2
33,0,2,5,4,2,0,3,1,4,2,2799,2,0,14,2,0,1,3,3,7,271.9076923076923,0.8416317754894195,2.4
31,0,2,9,2,3,1,3,1,3,4,6319,1,0,12,3,0,2,3,10,2,106.37333333333333,0.20794685384808223,3.2
35,0,2,7,3,4,0,4,1,4,3,2269,1,0,11,4,3,2,3,1,2,276.280701754386,0.8559182118364237,3.6
27,0,2,4,2,3,0,3,1,2,2,8726,2,0,11,1,1,0,3,9,3,374.82142857142856,0.5842782277274893,2.4
23,0,3,3,1,4,0,4,2,5,4,1790,1,1,20,2,2,2,3,1,5,234.83098591549296,0.892640796497331,3.4
42,0,2,17,2,4,0,4,2,4,1,3375,3,1,13,3,0,2,3,3,2,280.6829268292683,0.8533628779979145,3.0
35,0,2,29,3,2,0,3,2,1,2,2690,1,0,13,4,1,5,2,1,8,120.46938775510205,0.7721497543621887,2.6
39,0,2,5,3,3,0,2,3,8,1,3069,2,0,12,4,0,3,3,10,10,124.77777777777777,0.4534283170080142,2.6
59,0,2,26,2,2,1,2,2,5,2,13726,8,0,15,3,0,4,3,5,2,256.7959183673469,0.4545815783199555,2.4
34,0,2,12,2,4,0,3,1,3,4,2008,1,0,13,3,0,2,4,1,2,175.28205128205127,0.8531304856641311,3.6
35,0,2,1,3,4,0,3,3,11,1,16292,1,0,13,2,1,3,3,13,12,203.65,0.0,2.6
37,0,2,4,3,4,1,3,2,6,2,3452,9,0,12,4,0,3,2,5,2,103.94,0.33577063690590725,3.0
38,0,2,8,4,1,1,3,2,5,1,10589,2,0,13,4,1,3,1,7,2,230.19565217391303,0.0,2.0
51,0,2,2,2,1,0,3,1,2,3,6393,0,0,19,3,1,4,3,4,2,118.38888888888889,0.0,2.6
40,0,2,3,3,1,0,3,3,5,3,5003,0,0,12,3,2,6,2,10,10,126.9342105263158,0.4813931792267026,2.4
36,0,1,10,1,4,0,3,1,2,2,9980,1,0,22,2,0,3,3,10,0,316.0,0.5732124529592884,2.8
38,0,3,29,3,2,1,3,2,3,3,17491,4,0,13,1,2,4,3,6,7,203.38372093023256,0.0,2.4
34,0,2,10,2,1,1,3,1,4,4,3038,3,0,21,4,2,3,2,1,2,139.92753623188406,0.6853443811496633,2.8
40,0,2,1,3,4,0,3,5,8,1,10475,0,1,14,3,0,2,3,18,10,233.80246913580248,0.44687929031576723,2.8
33,0,2,18,3,3,0,3,2,5,3,6179,1,0,16,2,0,2,3,5,2,82.6046511627907,0.13020833333333334,2.8
52,0,2,5,3,3,0,2,3,6,2,9255,2,1,13,4,1,2,3,4,0,259.72972972972974,0.03694068678459938,2.8
36,1,2,11,2,1,0,1,2,6,2,4678,5,0,15,1,0,2,1,6,0,235.7704918032787,0.6747323042692254,1.2
35,0,2,1,4,3,1,1,1,4,4,8952,1,0,12,4,1,2,3,17,3,144.38709677419354,0.0,3.0
33,0,3,2,1,2,1,2,2,7,4,4223,1,0,21,4,0,2,2,15,1,80.05319148936171,0.43880398671096343,2.8
48,0,2,22,2,3,1,3,2,5,2,6439,0,0,13,1,1,2,4,8,7,162.94736842105263,0.5840439276485788,2.6
34,0,3,2,1,3,0,2,4,8,1,9547,7,0,15,2,0,2,4,10,7,433.075,0.44888298793511516,2.4
50,0,2,29,2,1,0,3,2,4,3,12932,2,0,11,2,1,3,3,2,4,140.56521739130434,0.0,2.4
55,0,1,2,4,3,0,3,1,2,4,17001,3,1,21,4,0,3,2,9,2,242.87142857142857,0.0,3.2
35,0,2,7,2,2,0,3,2,1,1,1951,1,0,12,2,1,3,1,1,10,134.06451612903226,0.53055822906641,1.8
40,0,2,17,2,3,0,2,2,5,2,2018,2,0,16,3,2,3,1,5,2,509.75757575757575,0.8800380454167162,2.2
47,0,3,3,2,3,0,3,3,11,4,12936,3,0,15,4,0,3,3,8,7,496.7435897435897,0.33226655654777265,3.4
36,0,2,6,3,3,1,4,2,4,1,7094,4,1,13,1,2,0,3,7,7,333.3529411764706,0.5827304276219046,2.4
29,0,2,10,1,3,0,3,1,4,3,2804,0,0,17,2,1,3,2,1,1,183.74242424242425,0.7687804073554878,2.6
47,0,2,1,3,2,0,3,1,4,1,5868,4,0,13,4,1,3,2,13,2,74.86075949367088,0.007778153533987149,2.4
39,0,1,4,3,3,0,1,2,7,2,6472,6,0,19,2,1,2,3,9,2,346.56666666666666,0.6887563720303934,2.2
24,0,2,11,2,3,0,3,2,6,1,2725,1,1,12,4,0,3,2,6,5,213.6125,0.840540698695067,2.6
43,0,2,25,2,1,0,2,3,11,2,26707,3,0,17,3,1,2,3,10,8,329.71604938271605,0.0,2.2
34,0,3,26,4,3,1,3,2,5,4,12069,0,0,18,1,0,3,3,2,2,120.69,0.0,2.8
37,0,2,2,2,3,0,2,1,3,2,6502,4,0,14,2,1,2,2,5,1,212.84,0.592683079621625,2.2
24,0,2,6,2,2,0,3,2,1,2,2819,6,0,20,4,2,2,3,6,2,54.964285714285715,0.3894303660385532,2.8
38,1,3,26,4,3,0,2,2,5,1,22967,5,0,15,3,0,2,2,6,3,441.6730769230769,0.0,2.2
31,1,1,3,3,1,0,3,1,3,1,9936,4,0,12,3,0,2,4,9,2,164.82022471910113,0.3226532142613675,2.4
44,0,2,2,2,4,0,3,2,5,2,2559,7,0,12,3,2,0,3,8,4,490.2826086956522,0.8865339422693211,3.0
60,1,2,2,2,4,0,2,1,3,3,2396,6,1,15,2,0,2,3,1,0,26.043478260869566,0.0,2.8
29,0,2,2,1,4,1,4,2,1,3,4973,1,0,17,3,2,5,3,0,7,64.58441558441558,0.0,3.4
46,0,2,23,4,2,1,1,1,3,3,5855,0,0,16,2,1,2,4,9,4,106.54945054945055,0.3961427392739274,2.4
37,0,2,2,3,4,0,3,2,5,3,3564,1,1,11,1,0,3,3,8,4,70.83783783783784,0.3201068294544067,2.8
34,0,2,6,3,1,1,2,5,8,3,2742,7,0,13,4,0,2,3,2,12,278.25925925925924,0.8783442033808067,2.6
45,0,1,9,4,3,0,2,1,4,2,7551,0,1,16,4,0,1,3,20,2,179.78571428571428,0.0,2.8
51,0,2,9,3,3,1,2,1,3,2,4936,1,0,11,3,3,2,3,7,0,442.51666666666665,0.8140936311250047,2.6
45,1,2,8,1,4,1,2,1,3,3,5006,1,1,11,1,0,3,3,5,4,221.3548387096774,0.7568250267171864,2.6
38,0,2,28,3,4,1,3,4,11,1,6545,4,1,11,2,0,1,3,3,2,521.4418604651163,0.7080991882972081,2.6
28,0,2,23,3,1,0,1,1,4,3,2713,1,0,25,3,3,2,2,5,7,232.39583333333334,0.8783953384132676,2.0
56,0,2,28,3,2,1,4,1,4,3,16090,4,0,12,4,0,2,3,5,2,223.47222222222223,0.0,3.2
35,0,2,7,4,2,0,4,2,4,2,5628,6,1,16,4,0,2,3,9,0,72.15384615384616,0.0,3.0
30,0,2,9,3,3,1,4,1,4,3,2693,1,0,16,4,1,3,3,1,3,284.1290322580645,0.8471276112624887,3.4
49,1,2,3,2,1,0,2,1,2,3,3810,1,1,14,3,0,2,3,6,2,44.30232558139535,0.0,2.4
29,0,2,29,2,1,0,3,2,5,3,4267,5,0,12,1,2,2,3,0,0,147.64444444444445,0.3577664057796508,2.2
38,0,2,10,4,1,0,2,3,5,2,2983,2,0,12,2,1,3,2,3,0,308.23880597014926,0.8555587836529149,1.8
34,1,2,8,1,3,0,3,1,3,1,2768,1,1,17,3,0,3,3,7,0,202.51898734177215,0.8269891868241765,2.6
40,0,2,11,4,2,1,3,4,8,4,10435,3,0,20,1,1,2,3,18,9,281.1034482758621,0.5733153418384037,2.6
38,0,3,8,1,4,0,4,1,3,4,4892,1,0,19,4,0,1,3,8,0,147.80555555555554,0.08062394286788198,3.8
22,0,1,7,1,1,1,2,1,3,4,6054,6,0,14,3,3,6,3,1,3,97.64516129032258,0.0,2.6
60,0,2,2,3,4,0,3,1,4,1,5405,1,0,14,4,0,1,3,2,2,144.71794871794873,0.5211729270021261,3.0
45,1,2,20,2,4,0,3,1,7,2,6889,0,1,11,3,0,2,3,7,1,157.2608695652174,0.36512763800571374,3.0
34,0,2,2,1,4,1,3,1,3,3,6029,6,1,19,3,1,3,2,2,2,128.03508771929825,0.17388325568648946,3.0
28,0,2,10,4,3,0,3,2,7,3,4908,3,0,11,3,0,3,3,4,3,208.64788732394365,0.6686917780477927,3.0
34,0,2,1,4,2,0,4,2,5,4,2691,0,0,11,4,1,4,2,10,1,163.70666666666668,0.780827496334908,3.2
41,0,2,1,4,2,0,3,2,4,4,2289,9,0,17,2,1,2,2,5,2,289.06666666666666,0.8240313653136532,2.6
39,0,3,1,4,2,0,3,2,6,3,12169,4,0,12,3,0,2,3,18,2,329.79545454545456,0.16139480394183722,2.8
38,0,3,8,2,4,0,3,1,4,4,4488,1,0,21,4,0,2,3,13,3,71.74242424242425,0.05216473072861669,3.6
36,0,2,18,1,1,0,4,2,5,3,2342,2,0,11,2,0,3,2,5,2,134.16129032258064,0.8122946221046726,2.4
30,0,3,5,3,4,1,3,1,2,2,3909,1,0,11,3,1,2,2,9,2,59.142857142857146,0.21316425120772947,2.8
35,0,2,2,3,4,1,3,2,5,2,4859,8,0,15,4,0,3,2,5,7,172.53225806451613,0.5457604935963354,3.0
47,1,2,9,3,2,0,3,1,3,1,16998,2,1,11,3,0,3,2,17,0,190.98876404494382,0.0,2.2
32,0,1,2,4,4,0,2,1,2,4,4087,1,1,18,1,0,3,2,6,2,202.1076923076923,0.6888939636142194,2.6
45,1,2,9,4,1,0,3,2,5,1,18385,0,1,17,1,0,2,3,10,2,238.76623376623377,0.0,1.8
34,0,3,8,3,3,1,4,2,5,4,2231,1,0,15,3,2,3,4,4,7,208.80357142857142,0.8092020867185495,3.6
32,0,2,27,5,3,1,3,2,5,4,11159,7,0,23,4,1,6,2,7,7,255.3030303030303,0.5584965380811078,3.2
54,0,2,9,3,1,1,3,5,11,3,3735,2,0,17,2,1,6,4,10,16,272.28125,0.7856650981292321,2.6
39,0,1,8,5,1,0,3,4,11,2,8847,3,0,11,3,0,2,4,6,2,117.41935483870968,0.18983516483516483,2.6
30,1,1,4,4,4,0,2,2,5,4,8450,1,1,12,2,0,2,3,11,7,176.54166666666666,0.0028321925890960587,3.0
35,0,2,7,4,4,1,3,2,5,1,12761,7,0,14,2,2,4,3,19,2,174.8082191780822,0.0,2.6
30,0,3,8,2,2,1,3,2,1,1,4011,2,1,16,2,1,2,3,12,0,54.79347826086956,0.2043245387819877,2.2
53,0,2,2,3,3,0,2,1,3,4,2450,7,0,15,2,0,4,2,2,2,37.07865168539326,0.25757575757575757,2.6
45,0,2,6,2,4,0,2,1,3,3,2348,1,0,11,2,1,2,3,17,4,409.4,0.8566194430874451,2.8
31,1,2,1,3,3,0,3,1,4,3,5582,0,0,14,4,0,2,2,9,2,232.43529411764706,0.7174672268056891,3.0
47,0,1,1,2,1,0,3,3,11,4,5467,1,1,12,3,0,4,3,8,14,154.55102040816325,0.6390466129671201,2.8
26,0,3,10,4,4,1,3,3,6,3,5747,3,0,12,1,0,3,3,2,7,91.22222222222223,0.0,2.8
33,1,2,4,3,1,0,3,2,5,2,9558,1,0,18,3,0,2,3,10,7,170.67857142857142,0.0,2.4
49,0,2,1,3,4,1,2,4,11,4,3423,3,0,14,2,2,2,2,7,7,160.50574712643677,0.7548696648524778,2.8
38,0,3,2,3,4,0,2,1,3,4,2610,1,1,12,2,1,2,3,4,2,273.5,0.8164815075235551,3.0
28,0,2,3,4,3,0,3,4,11,3,2028,3,1,16,4,3,2,2,4,3,467.02222222222224,0.9035020936429388,3.0
36,0,2,7,1,4,0,2,1,4,4,3886,1,0,11,3,2,2,3,10,2,420.265625,0.8555229207718333,3.2
42,0,1,3,3,3,0,3,1,4,2,9256,1,0,12,3,0,2,2,20,10,388.2826086956522,0.4817759363977381,2.6
32,0,2,6,3,1,0,2,2,6,3,13119,2,0,13,4,0,2,3,1,2,135.24742268041237,0.0,2.6
59,0,2,22,3,2,0,4,3,8,2,11904,7,0,18,2,1,1,2,6,7,269.01408450704224,0.3767539267015707,2.4
45,1,2,9,4,4,0,3,1,3,1,4805,3,0,14,2,0,3,1,8,4,253.84883720930233,0.7799001419999084,2.2
36,1,2,11,3,3,0,3,3,5,4,5860,1,0,18,1,2,2,4,3,8,205.74418604651163,0.33762857465807616,3.0
42,0,2,7,2,3,1,2,3,1,3,14034,1,0,24,1,1,5,3,5,9,292.375,0.0,2.4
28,0,2,1,5,2,0,3,2,5,1,3485,5,1,21,3,1,2,2,0,3,53.45333333333333,0.13070591169867798,2.2
46,0,2,2,4,2,0,3,1,4,2,6073,1,0,11,3,1,3,2,4,3,229.17073170731706,0.35366113239676455,2.4
29,0,2,29,4,1,1,3,1,2,4,2974,2,0,15,2,2,2,2,5,8,494.7,0.8497068930665049,2.4
40,0,2,1,2,2,0,2,1,3,3,9705,1,0,12,3,3,2,2,1,1,346.4237288135593,0.5251724644062821,2.4
40,0,2,19,2,3,0,3,2,4,1,3875,2,0,16,1,2,2,2,2,0,552.1388888888889,0.8050510640438698,2.0
28,0,2,2,1,1,1,4,1,4,1,8268,7,0,13,3,0,2,2,7,3,332.8,0.6177884615384616,2.2
47,1,1,25,4,4,0,2,3,5,2,11849,2,1,12,3,0,2,3,10,4,302.36842105263156,0.31250362634174644,2.8
41,0,1,25,4,3,0,3,3,6,3,6230,1,1,11,3,1,3,2,14,10,122.36842105263158,0.10681003584229391,2.8
46,1,2,13,5,2,1,2,2,5,1,8658,5,1,13,2,3,2,3,8,2,197.36458333333334,0.5430411146883412,2.0
19,0,2,9,3,3,1,4,1,4,3,1483,6,0,18,1,2,2,2,1,0,245.8901098901099,0.9337236324633535,2.6
34,0,2,8,5,1,0,1,1,3,3,5869,1,0,19,4,3,2,3,15,2,111.7816091954023,0.3965038560411311,2.4
30,0,3,6,2,2,1,3,1,7,3,25657,8,0,17,4,0,2,2,4,2,493.40384615384613,0.0,2.8
35,1,3,2,3,3,0,3,2,1,2,7653,4,0,11,1,2,3,3,10,2,108.50617283950618,0.12925247468426443,2.4
45,0,2,7,3,4,0,2,2,6,1,9724,8,0,19,1,0,2,1,1,6,425.41818181818184,0.5844089238396444,1.8
34,0,2,21,4,4,0,4,2,5,4,19921,1,0,12,4,0,3,3,2,7,269.2027027027027,0.0,3.8
37,1,2,9,2,3,0,2,3,5,4,2501,1,0,16,4,0,4,3,5,8,212.4375,0.8160488378934981,3.2
31,0,2,11,3,1,1,3,1,3,3,19106,4,0,18,1,0,2,3,11,2,203.25531914893617,0.0,2.2
46,0,2,1,2,2,1,3,2,5,4,2823,1,1,14,4,1,2,2,7,14,61.125,0.175284837861525,3.0
27,0,3,4,4,4,1,2,2,5,3,2379,4,0,14,3,1,3,4,5,11,310.4255319148936,0.8369431117203564,3.2
39,0,2,20,3,2,0,1,3,6,1,3230,2,1,18,2,1,4,3,5,7,209.0842105263158,0.8373860947490308,1.8
27,0,2,3,2,1,1,3,1,3,4,2561,5,0,22,1,1,2,3,2,0,65.66666666666667,0.0,2.4
35,0,1,1,1,2,0,3,3,5,4,6599,1,0,14,4,1,3,3,1,10,157.11904761904762,0.0,3.2
33,0,2,28,2,1,0,3,2,5,2,2277,1,0,20,4,2,4,4,4,3,112.54545454545455,0.6934571890145396,2.8
31,0,2,26,3,3,0,2,2,5,1,5915,1,0,11,3,1,2,3,7,3,504.8333333333333,0.755901287553648,2.4
30,0,2,8,1,3,0,3,1,3,3,3491,1,0,11,1,1,2,3,10,3,372.3333333333333,0.8046665174574754,2.6
33,0,2,1,3,2,0,3,2,5,3,13610,9,0,11,3,0,2,3,7,9,219.51764705882354,0.2705932793826036,2.8
28,0,2,19,4,4,1,3,2,1,1,22670,9,1,11,2,2,5,3,5,3,238.6315789473684,0.0,2.6
40,0,1,22,4,3,0,2,2,4,4,10932,1,1,15,2,0,2,3,1,10,308.09302325581393,0.5874094202898551,2.8
33,0,2,16,4,4,0,2,2,5,3,3143,4,0,19,4,2,1,3,10,0,372.09090909090907,0.8720172652496132,3.2
33,0,3,4,3,3,0,2,2,1,3,4373,1,0,12,3,1,2,3,4,13,195.14285714285714,0.7713344488600711,2.8
34,0,2,7,2,1,0,2,3,5,4,2932,7,1,18,4,1,2,3,5,2,265.5769230769231,0.8584600531016172,2.8
40,0,2,1,5,1,0,3,2,7,4,10503,4,1,11,3,0,3,3,6,7,454.6756756756757,0.3756761576413244,2.8
45,1,3,13,4,1,0,4,4,5,3,9277,6,1,17,3,0,3,2,4,7,109.14117647058823,0.0,2.6
43,0,3,9,4,4,0,3,1,3,4,2437,3,0,23,2,2,4,3,1,2,195.05208333333334,0.8698531375166889,3.2
34,0,2,6,2,4,1,3,2,4,1,4381,3,1,12,2,2,3,3,6,9,283.1666666666667,0.8016480282519128,2.6
38,0,2,1,2,2,1,2,1,4,4,13206,1,1,13,4,1,3,3,18,5,274.6265060240964,0.4206370097394051,3.0
38,0,2,29,4,3,0,3,2,5,1,10609,8,0,19,3,3,6,3,16,3,216.2622950819672,0.1958004851425106,2.6
32,1,2,7,2,4,1,3,1,3,3,3666,8,0,11,4,1,2,1,13,9,72.61111111111111,0.29877582249426166,3.0
36,0,2,7,1,4,1,3,1,2,3,5228,1,0,13,1,1,2,3,2,0,213.05263157894737,0.6771245059288538,2.8
44,0,2,5,2,2,0,4,2,6,1,18384,1,0,12,4,2,4,3,3,3,216.28235294117647,0.0,2.8
56,0,2,23,2,3,1,4,1,4,3,5380,1,0,24,3,1,3,3,0,7,293.5679012345679,0.7737499474326086,3.2
43,0,2,28,3,4,1,3,1,4,4,4585,4,0,20,4,1,5,3,20,4,173.18556701030928,0.7270670873266266,3.6
33,1,2,9,3,2,1,1,1,2,2,8224,1,0,13,3,0,3,3,5,2,281.34615384615387,0.4378673957621326,2.2
26,0,2,3,3,3,1,2,1,4,4,2368,3,0,17,1,1,3,3,5,0,120.8,0.7199621570482497,2.6
31,1,3,10,3,4,1,2,1,4,1,11479,6,1,20,3,0,2,3,10,0,124.77173913043478,0.0,2.6
46,0,2,5,2,2,0,3,2,5,2,3904,1,0,14,4,1,2,3,5,8,185.22916666666666,0.5609042852322573,2.8
29,0,3,18,4,4,1,2,5,11,3,2125,1,1,17,3,1,3,3,3,9,54.827586206896555,0.33176100628930816,3.0
31,0,2,6,2,2,0,3,2,2,3,16047,2,1,20,4,1,2,1,1,7,471.97058823529414,0.0,2.6
40,0,2,13,2,4,0,3,1,2,2,2809,1,0,13,3,1,2,3,2,0,91.06410256410257,0.6045332957905111,3.0
27,0,2,8,1,3,0,2,2,4,2,24907,1,0,23,4,1,3,3,5,7,408.3114754098361,0.0,2.8
42,1,2,25,3,1,0,1,1,3,3,4907,1,0,12,3,0,3,2,20,0,219.95833333333334,0.5352339458230726,2.0
34,0,2,1,3,3,0,3,1,4,1,9713,2,0,16,2,1,2,3,5,2,293.1666666666667,0.07968542732613228,2.4
38,0,2,1,3,1,0,3,3,5,4,6770,1,0,21,1,0,3,2,7,8,211.5625,0.0,2.2
34,0,2,3,3,3,0,3,1,3,4,3420,4,0,15,3,1,2,1,6,3,315.7358490566038,0.7956256722839727,2.8
52,0,3,2,2,3,1,3,4,8,4,12982,1,1,11,3,1,3,2,9,14,393.3939393939394,0.0,3.0
28,1,2,1,4,4,1,3,1,4,4,5207,1,1,13,3,0,2,2,7,9,82.65079365079364,0.0,3.2
56,0,2,7,4,4,0,3,2,3,4,7260,3,0,22,4,1,2,2,6,7,198.5,0.2380352644836272,3.4
26,0,3,3,4,4,1,3,1,4,3,4364,1,1,11,3,0,2,3,2,7,413.55357142857144,0.8115635390129108,3.2
31,0,2,14,3,1,0,3,1,4,1,6582,1,1,14,4,2,2,2,6,7,342.3095238095238,0.5421854350699034,2.2
42,0,2,2,2,2,0,3,2,1,4,5155,2,0,14,3,1,3,3,6,7,271.5777777777778,0.7890925456181982,3.0
41,0,2,21,4,2,0,4,3,1,1,6870,1,0,11,3,1,3,3,3,9,199.90196078431373,0.3261402648357038,2.6
46,0,2,23,3,1,1,3,1,4,4,3032,1,0,22,2,2,2,1,11,2,33.68888888888889,0.0,2.2
32,0,3,11,4,4,0,3,2,5,4,4648,3,0,12,3,0,2,4,0,1,102.3875,0.4325479184470761,3.6
32,0,2,9,1,3,1,3,3,5,3,3931,3,1,13,3,1,5,3,4,7,220.79166666666666,0.8145404793357237,3.0
24,0,2,2,4,2,1,3,2,5,2,3698,1,1,20,1,0,2,3,3,7,61.71604938271605,0.26025205041008204,2.2
31,0,3,2,2,4,1,4,2,1,4,3334,1,0,12,2,0,3,3,3,7,301.15625,0.654041714226419,3.4
20,0,2,12,4,3,0,3,2,1,3,3033,9,1,12,2,2,2,3,2,2,163.43421052631578,0.7558167619354319,2.8
38,0,3,16,4,3,1,2,2,5,1,13494,4,0,13,1,2,3,2,5,2,137.69387755102042,0.0,1.8
28,0,2,4,3,2,0,3,2,5,3,8863,1,0,15,2,0,2,4,2,4,206.11627906976744,0.0,2.8
35,0,2,11,3,3,0,2,2,7,2,5098,4,0,11,4,2,5,4,10,9,389.875,0.7665002519122429,3.0
42,1,2,5,3,3,0,2,2,5,3,13348,1,1,11,4,0,3,3,5,4,586.0652173913044,0.5048777773656293,3.0
